"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4110764";"";"";"Small molecule";"";"726.97";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"727.1877";"None";"None";"C27H36N6O2ReS2+4";"";""
"CHEMBL1256351";"FENCLONINE";"CP-10,188|CP-10188|FENCLONINE|NSC-77370|P-CHLOROPHENYLALANINE, DL-";"Small molecule";"-1.0";"199.64";"12";"22";"1.29";"63.32";"2";"2";"0";"3";"N";"0.77";"1.85";"9.44";"-0.58";"-0.58";"1";"MOL";"0";"13";"3";"3";"0";"199.0400";"0.03";"ZWITTERION";"C9H10ClNO2";"NC(Cc1ccc(Cl)cc1)C(=O)O";"NIGWMJHCCYYCSF-UHFFFAOYSA-N"
"CHEMBL414";"CARZENIDE";"4-SULFAMOLYBENZOIC ACID|CARZENIDE|Carzenide|NSC-22976|P-SULFAMOYLBENZOIC ACID|Para-Carboxybenzenesulfonamide (Weak Carbonic Anhydrase Inhibitor)";"Small molecule";"-1.0";"201.20";"99";"263";"0.03";"97.46";"3";"2";"0";"2";"N";"0.70";"3.54";"None";"0.24";"-3.13";"1";"MOL";"0";"13";"5";"3";"0";"201.0096";"-1.06";"ACID";"C7H7NO4S";"NS(=O)(=O)c1ccc(C(=O)O)cc1";"UCAGLBKTLXCODC-UHFFFAOYSA-N"
"CHEMBL507322";"";"";"Small molecule";"";"635.75";"5";"6";"1.63";"201.01";"8";"5";"1";"12";"N";"0.15";"9.98";"11.45";"0.65";"-2.95";"3";"MOL";"-1";"45";"13";"7";"3";"635.2526";"-1.17";"BASE";"C31H37N7O6S";"N=C(N)c1cccc(C[C@H](NS(=O)(=O)c2cccc(NC(=O)CCN)c2)C(=O)N2CCN(C(=O)OCc3ccccc3)CC2)c1";"GVKGOJSGHMSOHB-MHZLTWQESA-N"
"CHEMBL64706";"ORBOFIBAN";"ORBOFIBAN|SC-57099B";"Small molecule";"-1.0";"361.40";"5";"14";"0.33";"137.61";"5";"4";"0";"7";"N";"0.31";"None";"11.47";"-0.90";"-3.31";"1";"MOL";"0";"26";"9";"5";"0";"361.1750";"-1.22";"BASE";"C17H23N5O4";"CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O";"VJDOPFARMOLELX-ZDUSSCGKSA-N"
"CHEMBL1516410";"ECADOTRIL";"BAY Y 7432|BAY-Y-7432|BP 1.02|BP-1.02|ECADOTRIL|RACECADOTRIL (S)-FORM|S-049|S.049|SINORPHAN";"Small molecule";"-1.0";"385.49";"10";"22";"2.98";"72.47";"5";"1";"0";"9";"N";"0.67";"12.60";"None";"3.17";"3.17";"2";"MOL";"0";"27";"5";"1";"0";"385.1348";"-0.28";"NEUTRAL";"C21H23NO4S";"CC(=O)SC[C@@H](Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1";"ODUOJXZPIYUATO-LJQANCHMSA-N"
"CHEMBL2110886";"CIPROSTENE";"CIPROSTENE";"Small molecule";"-1.0";"364.53";"";"";"4.46";"77.76";"3";"3";"0";"10";"N";"0.39";"4.72";"None";"3.91";"1.29";"0";"MOL";"0";"26";"4";"3";"0";"364.2614";"2.00";"ACID";"C22H36O4";"CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@]2(C)C/C(=C\CCCC(=O)O)C[C@H]12";"VKPYUUBEDXIQIB-QBPWRKFFSA-N"
"CHEMBL49004";"";"";"Small molecule";"";"577.72";"1";"2";"0.16";"188.95";"8";"6";"2";"16";"N";"0.15";"12.05";"8.09";"0.60";"-0.17";"1";"MOL";"-1";"41";"12";"7";"3";"577.3475";"0.20";"NEUTRAL";"C29H47N5O7";"COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CC[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](C)N)C(C)C)C(C)C";"IUDCAKKZLXFOQA-QJAPXLAMSA-N"
"CHEMBL228792";"KINETIN";"Kinetin";"Small molecule";"";"215.22";"37";"60";"1.56";"79.63";"5";"2";"0";"3";"N";"0.69";"9.86";"4.01";"0.56";"0.55";"3";"MOL";"-1";"16";"6";"2";"0";"215.0807";"-1.35";"NEUTRAL";"C10H9N5O";"c1coc(CNc2ncnc3[nH]cnc23)c1";"QANMHLXAZMSUEX-UHFFFAOYSA-N"
"CHEMBL433041";"EPTASTIGMINE";"EPTASTIGMINE|Eptastigmine|N-DEMETHYL-N-HEPTYLPHYSOSTIGMINE";"Small molecule";"-1.0";"359.51";"10";"55";"4.11";"44.81";"4";"1";"0";"7";"N";"0.74";"None";"6.59";"4.89";"4.83";"1";"MOL";"0";"26";"5";"1";"0";"359.2573";"0.71";"NEUTRAL";"C21H33N3O2";"CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C";"RRGMXBQMCUKRLH-CTNGQTDRSA-N"
"CHEMBL3644464";"";"";"Small molecule";"";"350.44";"1";"1";"2.89";"57.94";"4";"2";"0";"2";"N";"0.87";"12.67";"9.13";"1.46";"-0.31";"2";"MOL";"-1";"24";"4";"3";"0";"350.1377";"-0.85";"BASE";"C17H20F2N4S";"Cc1nc2c([nH]1)CN([C@H]1CSC(c3cc(F)ccc3F)[C@@H](N)C1)C2";"DIMUJWRLHCEJIF-JJNQEZICSA-N"
"CHEMBL325441";"TIPLASININ";"PAI-039|TIPLASININ";"Small molecule";"-1.0";"439.39";"20";"105";"5.52";"68.53";"4";"1";"1";"6";"N";"0.32";"3.30";"None";"6.62";"3.19";"4";"MOL";"0";"32";"5";"1";"1";"439.1031";"-0.82";"ACID";"C24H16F3NO4";"O=C(O)C(=O)c1cn(Cc2ccccc2)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc12";"ODXQFEWQSHNQNI-UHFFFAOYSA-N"
"CHEMBL324954";"EFEGATRAN SULFATE";"EFEGATRAN SULFATE|EFEGATRAN SULPHATE|LY-294468";"Protein";"-1.0";"514.61";"1";"1";"-0.45";"142.91";"5";"4";"0";"11";"N";"0.17";"12.97";"11.26";"-0.52";"-3.74";"1";"BOTH";"0";"30";"9";"6";"1";"416.2536";"0.58";"BASE";"C21H34N6O7S";"CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCNC(=N)N.O=S(=O)(O)O";"BISKEOIROPAOGY-RXQQAGQTSA-N"
"CHEMBL2107005";"PENTOMONE";"COMPOUND 113935|PENTOMONE";"Small molecule";"-1.0";"394.47";"";"";"3.85";"53.99";"5";"0";"0";"2";"N";"0.77";"None";"None";"4.57";"4.57";"2";"MOL";"0";"29";"5";"0";"0";"394.1780";"0.66";"NEUTRAL";"C24H26O5";"COc1cccc2c1O[C@@H]1[C@H](C2)C(=O)[C@@H]2Cc3cccc(OC)c3O[C@@H]2C1(C)C";"MTJTVTZUEKVNTG-YJEDKTMASA-N"
"CHEMBL313489";"QUIFLAPON SODIUM";"MK-591|QUIFLAPON SODIUM";"Small molecule";"-1.0";"609.17";"8";"20";"9.01";"64.35";"5";"1";"2";"9";"N";"0.17";"4.30";"3.14";"8.50";"5.76";"5";"MOL";"0";"41";"5";"1";"2";"586.2057";"-0.56";"ACID";"C34H34ClN2NaO3S";"CC(C)(C)Sc1c(CC(C)(C)C(=O)[O-])n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12.[Na+]";"YPURUCMVRRNPHJ-UHFFFAOYSA-M"
"CHEMBL73193";"FIDEXABAN";"CI-1031|FIDEXABAN|ZK 807834|ZK-807191|ZK-807834";"Small molecule";"-1.0";"526.50";"7";"23";"3.15";"157.59";"9";"4";"1";"9";"N";"0.24";"2.90";"12.35";"-1.09";"-1.11";"3";"MOL";"0";"38";"11";"5";"2";"526.1776";"-0.49";"ZWITTERION";"C25H24F2N6O5";"CN1CCN=C1c1cccc(Oc2nc(Oc3cc(C(=N)N)ccc3O)c(F)c(N(C)CC(=O)O)c2F)c1";"NPNSVNGQJGRSNR-UHFFFAOYSA-N"
"CHEMBL3039536";"CINDUNISTAT HYDROCHLORIDE MALEATE";"CINDUNISTAT HYDROCHLORIDE MALEATE|PHA-728669F";"Small molecule";"-1.0";"591.15";"";"";"0.11";"99.20";"4";"4";"0";"6";"N";"0.29";"2.46";"12.60";"-2.49";"-4.41";"0";"MOL";"0";"14";"5";"5";"0";"219.1041";"0.20";"ZWITTERION";"C20H39ClN6O8S2";"CC(=N)NCCSC[C@](C)(N)C(=O)O.CC(=N)NCCSC[C@](C)(N)C(=O)O.Cl.O=C(O)/C=C\C(=O)O";"AXMATQOUTYMHRH-YYYPGOKWSA-N"
"CHEMBL1233550";"IODIDE";"IODIDE";"Small molecule";"-1.0";"127.91";"14";"43";"0.62";"0.00";"0";"0";"0";"0";"Y";"0.42";"-9.00";"None";"1.02";"1.24";"0";"MOL";"0";"1";"0";"0";"0";"127.9123";"0.00";"ACID";"HI";"I";"XMBWDFGMSWQBCA-UHFFFAOYSA-N"
"CHEMBL2106980";"PERAFENSINE";"PERAFENSINE";"Small molecule";"-1.0";"289.38";"";"";"3.31";"28.16";"3";"1";"0";"2";"N";"0.78";"None";"8.79";"3.94";"2.55";"3";"MOL";"0";"22";"3";"1";"0";"289.1579";"-0.97";"BASE";"C19H19N3";"c1ccc(-c2nc(N3CCNCC3)cc3ccccc23)cc1";"BHHDTFRLKOTSKW-UHFFFAOYSA-N"
"CHEMBL325166";"NAPSAGATRAN";"Napsagatran|Ro-46-6240";"Small molecule";"-1.0";"558.66";"8";"26";"0.67";"185.99";"6";"5";"1";"11";"N";"0.20";"3.23";"12.04";"-1.81";"-1.81";"2";"MOL";"0";"39";"12";"6";"3";"558.2261";"-1.17";"ZWITTERION";"C26H34N6O6S";"N=C(N)N1CCC[C@@H](CNC(=O)C[C@H](NS(=O)(=O)c2ccc3ccccc3c2)C(=O)N(CC(=O)O)C2CC2)C1";"BYDKEYCXCIVOOV-JTSKRJEESA-N"
"CHEMBL1201405";"MOEXIPRILAT";"MOEXIPRIL RELATED COMPOUND A|MOEXIPRILAT|RS-10029";"Small molecule";"-1.0";"470.52";"1";"4";"2.11";"125.40";"6";"3";"0";"10";"N";"0.48";"1.53";"9.29";"0.07";"-3.11";"2";"MOL";"0";"34";"9";"3";"0";"470.2053";"-0.03";"ZWITTERION";"C25H30N2O7";"COc1cc2c(cc1OC)CN(C(=O)[C@H](C)N[C@@H](CCc1ccccc1)C(=O)O)[C@H](C(=O)O)C2";"CMPAGYDKASJORH-YSSFQJQWSA-N"
"CHEMBL114586";"SEPIMOSTAT";"SEPIMOSTAT|Sepimostat";"Small molecule";"-1.0";"373.42";"2";"2";"2.71";"112.59";"6";"4";"0";"4";"N";"0.24";"None";"11.32";"2.85";"0.37";"3";"MOL";"0";"28";"7";"5";"0";"373.1539";"-0.37";"BASE";"C21H19N5O2";"N=C(N)c1ccc2cc(OC(=O)c3ccc(NC4=NCCN4)cc3)ccc2c1";"QMRJOIUGPCVZPH-UHFFFAOYSA-N"
"CHEMBL2158055";"";"AT-406";"Small molecule";"";"598.19";"4";"31";"2.62";"110.85";"5";"3";"1";"9";"N";"0.44";"12.18";"8.60";"2.25";"1.02";"2";"MOL";"-1";"41";"9";"3";"1";"561.3315";"-0.74";"BASE";"C32H44ClN5O4";"CN[C@@H](C)C(=O)N[C@H]1CN(C(=O)CC(C)C)CC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O.Cl";"DBXTZCYPHKJCHF-ZZPLZQMBSA-N"
"CHEMBL329012";"ICOPEZIL MALEATE";"CP-118,954-11|CP-118954-11|ICOPEZIL MALEATE";"Small molecule";"-1.0";"491.54";"6";"9";"4.17";"58.37";"4";"1";"0";"5";"N";"0.73";"11.88";"9.20";"3.43";"1.63";"3";"MOL";"0";"28";"5";"1";"0";"375.1947";"-0.97";"BASE";"C27H29N3O6";"O=C(O)/C=C\C(=O)O.O=C1Cc2cc3c(CCC4CCN(Cc5ccccc5)CC4)noc3cc2N1";"CTYSKGVFLJLGGX-BTJKTKAUSA-N"
"CHEMBL273196";"EFEGATRAN";"EFEGATRAN|LY-294468|LY294468";"Protein";"-1.0";"416.53";"23";"100";"-0.45";"142.91";"5";"4";"0";"11";"N";"0.17";"12.97";"11.26";"-0.52";"-3.74";"1";"BOTH";"0";"30";"9";"6";"1";"416.2536";"0.58";"BASE";"C21H32N6O3";"CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N";"KAGLWQUWUNBAOO-KSZLIROESA-N"
"CHEMBL2105641";"ELINOGREL POTASSIUM";"ELINOGREL POTASSIUM|ELINOGREL POTASSIUM SALT|PRT060128 POTASSIUM|PRT060128-POTASSIUM";"Small molecule";"-1.0";"562.05";"";"";"3.09";"142.16";"8";"4";"1";"5";"N";"0.32";"4.69";"2.01";"3.46";"2.53";"4";"MOL";"0";"34";"10";"4";"1";"523.0187";"-1.91";"ACID";"C20H14ClFKN5O5S2";"CNc1cc2[nH]c(=O)n(-c3ccc(NC(=O)[N-]S(=O)(=O)c4ccc(Cl)s4)cc3)c(=O)c2cc1F.[K+]";"PPADHTVWIWCEDE-UHFFFAOYSA-M"
"CHEMBL2074730";"ELACRIDAR HYDROCHLORIDE";"ELACRIDAR HCL|ELACRIDAR HYDROCHLORIDE|GF 120918A|GF-120918A";"Small molecule";"-1.0";"600.12";"4";"17";"5.56";"92.89";"6";"2";"2";"8";"N";"0.24";"13.88";"8.36";"6.81";"5.81";"5";"MOL";"0";"42";"8";"2";"2";"563.2420";"-0.57";"NEUTRAL";"C34H34ClN3O5";"COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2.Cl";"IQOJZZHRYSSFJM-UHFFFAOYSA-N"
"CHEMBL2106789";"NANAFROCIN";"NANAFROCIN|NSC-267461";"Small molecule";"-1.0";"302.28";"3";"6";"1.72";"100.90";"5";"2";"0";"2";"N";"0.86";"3.48";"None";"1.71";"-1.73";"1";"MOL";"0";"22";"6";"2";"0";"302.0790";"1.66";"ACID";"C16H14O6";"C[C@@H]1O[C@@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O";"ZCJHPTKRISJQTN-JGVFFNPUSA-N"
"CHEMBL2106994";"PUMAFENTRINE";"BY-343|BY343|BYK-33043|PUMAFENTRIN|PUMAFENTRINE";"Small molecule";"-1.0";"477.65";"2";"2";"4.99";"54.37";"5";"0";"0";"7";"N";"0.56";"None";"8.03";"4.22";"3.50";"2";"MOL";"0";"35";"6";"0";"0";"477.2991";"-0.42";"NEUTRAL";"C29H39N3O3";"CCOc1cc2c(cc1OC)C(c1ccc(C(=O)N(C(C)C)C(C)C)cc1)=N[C@@H]1CCN(C)C[C@H]21";"CVDXFPBVOIERBH-JWQCQUIFSA-N"
"CHEMBL1877495";"BENMOXIN";"BENMOXIN|MEBAMOXINE";"Small molecule";"-1.0";"240.31";"5";"7";"2.68";"41.13";"2";"2";"0";"4";"N";"0.81";"None";"3.32";"2.89";"2.89";"2";"MOL";"0";"18";"3";"2";"0";"240.1263";"-1.04";"NEUTRAL";"C15H16N2O";"CC(NNC(=O)c1ccccc1)c1ccccc1";"BEWNZPMDJIGBED-UHFFFAOYSA-N"
"CHEMBL1098285";"DISTIGMINE BROMIDE";"BC-51|DISTIGMINE BROMIDE|HEXAMARIUM BROMIDE|UBRETID|UBRITIL";"Small molecule";"4.0";"576.33";"1";"1";"2.46";"66.84";"4";"0";"0";"9";"N";"0.47";"None";"None";"-5.64";"-5.64";"2";"MOL";"0";"30";"8";"0";"0";"416.2413";"-0.17";"NEUTRAL";"C22H32Br2N4O4";"CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1.[Br-].[Br-]";"GJHSNEVFXQVOHR-UHFFFAOYSA-L"
